content,rating
bagus,5
cepat d bagus gak ribet,3
mantab sangat membantu,5
mantaap,5
👍🏻,5
bagus,5
"mobile jkn memberikan kemudahan untuk berobat,mengambil antrian secara online",5
"Baik dan Sangat bermanfaat,Terimakasih🙏",5
sangat membatu sekali,5
bagus aplikasinya komplit memudahkan. 👍👍,5
ok,5
sangat mudah dan cepat digunakan sebagai alat mendatar berobat ke rumah sakit yang kita inginkan,5
the best,5
"verifikasi lewat sms tp sama sekali gadapet, menyusahkan",1
good job,5
"aplikasinya akhir"" ini kurang bagus",1
sangat membantu dalam urusan kesehatan 👍,5
top,5
Saya ksh bintang empat nti kalo fitur nya bgus saya ubah k 5,4
"mudah dimengerti, mudah dipahami dan mempermudah dalam transaksi berobat",5
kereeeen habizzz,5
Lancar,5
sangat membantu sekali,5
"bagus, lengkap",5
ok,4
sejauh ini bagus,4
tolong perbaiki aplikasinya. fitur verifikasi wajah untuk penggantian data peserta bermasalah,3
membantu,5
bagus sangat membantu,5
sangat memuaskan,5
bagus,5
Semoga Sehat seberataan,5
bagus,5
JKN memang sangat bagus dalam luar biasa dalam pelayanan secara sistem digital sehingga mempermudah bagi peserta.,5
baik,5
"mau ganti sandi aja susah banget setiap kali masuk ke pesan dan email untuk minta kode otp selalu gagal dengan alasan nomor telepon blm terdaftar, padahal jelas² nomor yg aku daftarin di mobile jkn nomor yg msh aku pake sekarang. kalo memang aplikasi dlm perbaikan jgn di pasang dululah. ujung²nya di bales ""mohon maaf untuk selanjutnya bisa lewat call center atau via email""",1
Terbaik 👍🏻,5
bagus sangat membantu,5
Sangat membantu perubahan data dan informasi lainnya mengenai kesehatan,5
"aplikasinya ribet bgt, verifikasi muka udah puluhan kali masih gagal. muka baru kedetek langsung verif akhirnya Gagal, udah di ikuti panduannya masih aja gagal. kondisi kami LAGI URGENT TAPI MALAH JADI RIBET. APA2 HARUS LEWAT APLIKASI TAPI APLIKASINYA MALAH GA SESUAI DENGAN ZAMAN SEKARANG.",1
sanggat memudahkan kami,5
ini kenapa malah keluar sendiri,5
cukup baik dan lengkap,5
sangat membantu,5
sangat membatu,5
aplikasi gampang digunakan dan praktis,5
respon cepat' trimakasih,5
boleh lah,5
bagus banget,5
